dataset,dose,replicate,n_disrupted_signature_genes,C_target,D,R,C_lower95_one_sided,C_upper95_one_sided,D_lower95_one_sided,D_upper95_one_sided,decision,specimen_assignment_coverage,participant_assignment_coverage,validation_evaluability,index_participants,comparator_participants
GSE27262,0.5,13,7,0.4149999999999999,0.11232620320855602,0.6855565371024732,0.332,0.4960000000000001,-0.008257575757575908,0.23458547008547,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.5,14,7,0.31133333333333324,0.008659536541889334,0.5143050647820964,0.20173913043478264,0.41716666666666663,-0.1252222222222224,0.1495454545454546,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.5,15,7,0.38683333333333336,0.08415953654188946,0.6390267962308598,0.30399999999999977,0.4653333333333333,-0.03334848484848474,0.20454545454545453,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.5,16,7,0.39199999999999996,0.08932620320855605,0.6475618374558302,0.2999999999999998,0.48400000000000015,-0.032088235294117584,0.22122222222222224,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.5,17,7,0.43483333333333335,0.13215953654188944,0.718320082449941,0.332909090909091,0.5366666666666665,0.00011497326203208091,0.26691919191919183,PASS,1.0,1.0,1.0,24,25
GSE27262,0.5,18,7,0.4026666666666666,0.09999286987522271,0.6651825677267371,0.3076521739130434,0.5000000000000002,-0.02938461538461523,0.23288392857142848,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.5,19,7,0.3288333333333332,0.026159536541889294,0.543214075382803,0.23286956521739127,0.4231666666666664,-0.09973550724637686,0.15548989898989893,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,0,10,0.1595000000000001,-0.14317379679144382,0.26348498233215556,0.040999999999999925,0.2745000000000001,-0.28731667054173454,7.625948930300996e-05,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,1,10,0.06566666666666665,-0.23700713012477725,0.10847762073027085,-0.03945454545454541,0.176,-0.3701974789915966,-0.09719381598793372,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,2,10,0.10433333333333328,-0.19834046345811063,0.17235276796230847,-0.003826086956521757,0.21099999999999985,-0.3359141414141414,-0.060058823529411914,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,3,10,0.1238333333333333,-0.1788404634581106,0.20456566548881028,0.010086956521739188,0.25033333333333324,-0.32200000000000006,-0.02992602495543667,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,4,10,0.021166666666666778,-0.2815071301247771,0.034966136631331156,-0.1050909090909089,0.15269565217391307,-0.43063858695652163,-0.1290252525252526,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,5,10,0.14600000000000002,-0.1566737967914439,0.24118374558303884,0.03200000000000003,0.25600000000000006,-0.29619047619047606,-0.010395833333333354,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,6,10,0.192,-0.1106737967914439,0.31717314487632503,0.10069565217391307,0.2879999999999999,-0.2304444444444444,0.017690821256038686,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,7,10,0.21633333333333332,-0.08634046345811058,0.3573704358068315,0.12266666666666654,0.3071666666666666,-0.21584581105169354,0.039830065359476974,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,8,10,0.08983333333333332,-0.21284046345811058,0.1483995877502944,-0.028000000000000136,0.21233333333333326,-0.3620183823529412,-0.06579468599033816,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,9,10,0.2713333333333332,-0.0313404634581107,0.4482273262661952,0.16099999999999992,0.3777391304347827,-0.1608730158730159,0.10311111111111107,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,10,10,0.15166666666666673,-0.15100713012477718,0.25054475853945823,0.0578333333333334,0.2456363636363637,-0.27372222222222226,-0.023064791133844742,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,11,10,0.10533333333333339,-0.19734046345811052,0.17400471142520618,0.007999999999999896,0.20333333333333337,-0.32627360562143176,-0.06242929292929303,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,12,10,0.2368333333333334,-0.06584046345811051,0.3912352767962309,0.11033333333333334,0.36399999999999993,-0.22388888888888903,0.08768750000000003,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,13,10,0.1409999999999999,-0.161673796791444,0.23292402826855105,0.06365217391304356,0.21999999999999992,-0.27097549019607853,-0.03933333333333339,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,14,10,0.0741666666666666,-0.2285071301247773,0.12251914016489976,-0.040000000000000036,0.197217391304348,-0.36498331137461576,-0.07806250000000003,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,15,10,0.15349999999999997,-0.14917379679144394,0.25357332155477025,0.06400000000000006,0.2403333333333334,-0.2685,-0.025502415458937222,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,16,10,0.13950000000000007,-0.16317379679144384,0.230446113074205,0.04249999999999998,0.2396521739130435,-0.2853913043478261,-0.02914705882352936,FAIL,1.0,1.0,1.0,24,25
GSE27262,0.75,17,10,0.15316666666666673,-0.14950713012477718,0.25302267373380455,0.03756521739130436,0.2772727272727272,-0.29539075630252104,0.001752525252525089,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,18,10,0.16366666666666674,-0.13900713012477717,0.2703680800942286,0.0528333333333334,0.27599999999999997,-0.27519444444444446,0.0025555555555556997,INSUFFICIENT_SUPPORT,1.0,1.0,1.0,24,25
GSE27262,0.75,19,10,0.07199999999999995,-0.23067379679144395,0.11893992932862181,-0.01252173913043475,0.15400000000000003,-0.3456025641025641,-0.1077038043478262,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,0,13,0.002166666666666761,-0.30050713012477714,0.0035792108362781294,-0.11199999999999993,0.12,-0.44808974358974357,-0.15649999999999992,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,1,13,-0.0708333333333333,-0.3735071301247772,-0.11701266195524139,-0.18400000000000005,0.05036363636363628,-0.5139191919191921,-0.22345833333333343,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,2,13,-0.050999999999999934,-0.35367379679144384,-0.08424911660777373,-0.15999999999999998,0.05599999999999994,-0.4920555555555556,-0.21461111111111114,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,3,13,-0.011166666666666658,-0.31384046345811056,-0.018446702002355694,-0.132,0.1198333333333334,-0.4582499999999999,-0.16137878787878784,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,4,13,-0.11666666666666659,-0.4193404634581105,-0.1927267373380446,-0.24399999999999977,0.009499999999999842,-0.5694298642533937,-0.2713333333333334,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,5,13,-0.004666666666666597,-0.3073404634581105,-0.007709069493521674,-0.1279999999999999,0.11199999999999988,-0.45831818181818174,-0.1613071895424837,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,6,13,0.04483333333333328,-0.2578404634581106,0.07406213191990567,-0.04916666666666669,0.13999999999999996,-0.38011111111111107,-0.13024019607843146,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,7,13,0.07983333333333342,-0.22284046345811048,0.13188015312131932,-0.007499999999999951,0.17133333333333345,-0.34525000000000006,-0.09971657754010704,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,8,13,-0.06799999999999995,-0.37067379679144385,-0.1123321554770317,-0.17217391304347823,0.03854545454545466,-0.5051868686868688,-0.2341666666666666,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,9,13,0.06449999999999995,-0.23817379679144396,0.10655035335689035,-0.049833333333333285,0.17383333333333328,-0.3743177749360613,-0.1048478260869565,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,10,13,0.028833333333333266,-0.27384046345811064,0.04763103651354523,-0.06121739130434789,0.11499999999999988,-0.39335005574136006,-0.1543333333333332,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,11,13,0.02183333333333337,-0.28084046345811053,0.03606743227326272,-0.08173913043478248,0.12643478260869567,-0.4133846153846154,-0.13987198067632844,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,12,13,0.06766666666666665,-0.23500713012477725,0.11178150765606591,-0.0685217391304348,0.20399999999999996,-0.3962450592885375,-0.0709375000000001,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,13,13,-0.0038333333333334663,-0.30650713012477737,-0.006332449941107403,-0.0949565217391306,0.08400000000000007,-0.43203562801932366,-0.1774166666666666,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,14,13,-0.018166666666666664,-0.32084046345811057,-0.03001030624263839,-0.1279999999999999,0.09983333333333338,-0.4562689075630253,-0.17575000000000018,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,15,13,-0.030999999999999917,-0.3336737967914438,-0.05121024734982318,-0.128695652173913,0.06733333333333336,-0.4635555555555555,-0.2033921568627451,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,16,13,-0.013833333333333364,-0.31650713012477727,-0.022851884570082498,-0.10783333333333334,0.07999999999999996,-0.43862500000000004,-0.18400000000000005,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,17,13,-0.01866666666666661,-0.3213404634581105,-0.03083627797408706,-0.15199999999999997,0.11600000000000005,-0.48175000000000007,-0.15961363636363624,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,18,13,-0.00983333333333325,-0.31250713012477715,-0.016244110718492202,-0.1359999999999999,0.11599999999999994,-0.46436507936507937,-0.16231410256410256,FAIL,1.0,1.0,1.0,24,25
GSE27262,1.0,19,13,-0.08749999999999991,-0.3901737967914438,-0.1445450530035334,-0.18,0.01200000000000001,-0.5159464285714286,-0.26117838874680327,FAIL,1.0,1.0,1.0,24,25
GSE32863,0,0,0,0.6146825396825397,0.3120087428910958,1.0154208031858207,0.5542767295597485,0.6739844683393071,0.20654089918795793,0.42043742509844206,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,0,2,0.4802910052910052,0.1776172084995613,0.7934135864789572,0.4181818181818182,0.5456458635703918,0.07017850536440978,0.29034607005195245,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,1,2,0.5,0.1973262032085561,0.8259717314487631,0.43945998698763833,0.5605050505050505,0.0927064765300058,0.3027708850289495,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
GSE32863,0.1,2,2,0.5037037037037035,0.20102990691225964,0.8320900405706055,0.4314736842105261,0.5742132867132866,0.0938471989966555,0.3111982380364734,PASS,0.8103448275862069,0.9491525423728814,1.0,28,54
