dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE32863,GSM813449,06L14,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813450,06L14,paired,ASSIGNED,OK,P0,0.8980651250589899,0.7856792669461358,1.0,"[0.8980651250589899, 0.11238585811285413]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813451,06L20,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813452,06L20,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.7,tumor,P0
GSE32863,GSM813453,06L29,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813454,06L29,paired,ASSIGNED,OK,P0,0.8071417335221015,0.5886136760804407,1.0,"[0.8071417335221015, 0.2185280574416608]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813455,06L3,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813456,06L3,paired,UNASSIGNED,LOW_SCORE,P0,0.5969797074091551,,1.0,"[0.5969797074091551, 0.4211347849840006]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813457,06L46,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.3,adjacent_normal,P1
GSE32863,GSM813458,06L46,paired,UNASSIGNED,LOW_SCORE,P1,0.5891672520096776,,1.0,"[0.4308636149126946, 0.5891672520096776]","[1.0, 1.0]",1.0,tumor,P1
GSE32863,GSM813459,06L50,paired,ASSIGNED,OK,P1,0.7982517755404666,0.5972135499623638,1.0,"[0.20103822557810283, 0.7982517755404666]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813460,06L50,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813461,06L54,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813462,06L54,paired,ASSIGNED,OK,P0,0.6237218813905929,0.2530826868225761,1.0,"[0.6237218813905929, 0.3706391945680168]","[1.0, 1.0]",0.7,tumor,P0
GSE32863,GSM813463,06L57,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813464,06L57,paired,ASSIGNED,OK,P1,0.7191914461874658,0.42502753239165014,1.0,"[0.29416391379581563, 0.7191914461874658]","[1.0, 1.0]",0.9,tumor,P1
GSE32863,GSM813465,06L64,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813466,06L64,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.6,tumor,P1
GSE32863,GSM813467,06L71,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813468,06L71,paired,UNASSIGNED,LOW_SCORE,P0,0.5969797074091551,,1.0,"[0.5969797074091551, 0.4211347849840006]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813469,07L16,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813470,07L16,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.6,tumor,P0
